min,best-start,best-end,okay-start,okay-end,opt-35
2020-01-12 06:41:36.288,2020-01-12 05:27:53.587,2020-01-12 07:22:33.345,2020-01-12 02:35:53.950,2020-01-12 07:38:56.167,2020-01-12 00:08:28.546
2020-01-12 20:20:37.418,2020-01-12 19:06:54.716,2020-01-12 21:01:34.474,2020-01-12 16:14:55.079,2020-01-12 21:17:57.297,2020-01-12 13:47:29.676
2020-01-13 09:59:38.547,2020-01-13 08:45:55.845,2020-01-13 10:40:35.603,2020-01-13 05:53:56.208,2020-01-13 10:56:58.426,2020-01-13 03:26:30.805
2020-01-13 23:38:39.676,2020-01-13 22:24:56.974,2020-01-14 00:19:36.732,2020-01-13 19:32:57.337,2020-01-14 00:35:59.555,2020-01-13 17:05:31.934
2020-01-14 13:17:40.805,2020-01-14 12:03:58.103,2020-01-14 13:58:37.862,2020-01-14 09:11:58.466,2020-01-14 14:15:00.684,2020-01-14 06:44:33.063
2020-01-15 02:56:41.934,2020-01-15 01:42:59.233,2020-01-15 03:37:38.991,2020-01-14 22:50:59.596,2020-01-15 03:54:01.813,2020-01-14 20:23:34.192
2020-01-15 16:35:43.063,2020-01-15 15:22:00.362,2020-01-15 17:16:40.120,2020-01-15 12:30:00.725,2020-01-15 17:33:02.943,2020-01-15 10:02:35.321
2020-01-16 06:14:44.193,2020-01-16 05:01:01.491,2020-01-16 06:55:41.249,2020-01-16 02:09:01.854,2020-01-16 07:12:04.072,2020-01-15 23:41:36.451
2020-01-16 19:53:45.322,2020-01-16 18:40:02.620,2020-01-16 20:34:42.378,2020-01-16 15:48:02.983,2020-01-16 20:51:05.201,2020-01-16 13:20:37.580
2020-01-17 09:32:46.451,2020-01-17 08:19:03.749,2020-01-17 10:13:43.507,2020-01-17 05:27:04.112,2020-01-17 10:30:06.330,2020-01-17 02:59:38.709
2020-01-17 23:11:47.580,2020-01-17 21:58:04.879,2020-01-17 23:52:44.637,2020-01-17 19:06:05.241,2020-01-18 00:09:07.459,2020-01-17 16:38:39.838
2020-01-18 12:50:48.709,2020-01-18 11:37:06.008,2020-01-18 13:31:45.766,2020-01-18 08:45:06.371,2020-01-18 13:48:08.588,2020-01-18 06:17:40.967
